dropout,fourier_dropout,MSETest,EnergyScoreTest,CRPSTest,Gaussian NLLTest,CoverageTest,IntervalWidthTest
0.01,0.01,0.89982,0.63368,0.56658,1.48656,0.85055,3.46486
0.01,0.02,0.89417,0.62963,0.54686,1.42809,0.87458,3.48246
0.01,0.05,0.90322,0.63612,0.53148,1.57136,0.8366,3.26295
0.01,0.1,0.88992,0.62662,0.52363,1.58348,0.83365,3.21513
0.01,0.2,0.88582,0.62371,0.52634,1.61291,0.82943,3.24273
0.02,0.01,0.90417,0.63668,0.54623,1.45766,0.89827,3.68152
0.02,0.02,0.90535,0.63763,0.54101,1.42991,0.90513,3.64253
0.02,0.05,0.88869,0.62593,0.52231,1.50184,0.86671,3.35187
0.02,0.1,0.89419,0.62976,0.5296,1.6132,0.82939,3.23633
0.02,0.2,0.88477,0.62307,0.52761,1.61909,0.82786,3.25778
0.05,0.01,0.89072,0.62745,0.51807,1.4798,0.87124,3.28651
0.05,0.02,0.89218,0.62836,0.5221,1.49681,0.86601,3.31901
0.05,0.05,0.89078,0.62733,0.53421,1.67762,0.81975,3.236
0.05,0.1,0.89001,0.62682,0.54665,1.9742,0.77657,3.13698
0.05,0.2,0.88058,0.62009,0.53272,1.79492,0.80783,3.21223
0.1,0.01,0.90719,0.63899,0.53568,1.57335,0.84185,3.22857
0.1,0.02,0.89144,0.62796,0.53438,1.6708,0.81513,3.16684
0.1,0.05,0.89097,0.62763,0.54253,1.81262,0.79292,3.13369
0.1,0.1,0.88769,0.62551,0.56432,3.17703,0.73915,3.08736
0.1,0.2,0.88522,0.62344,0.55367,2.72494,0.76378,3.0821
0.2,0.01,0.88914,0.62642,0.55205,2.20828,0.75982,2.97286
0.2,0.02,0.88702,0.62495,0.55632,2.55599,0.74309,2.95572
0.2,0.05,0.8895,0.62663,0.55607,2.42866,0.75275,3.01108
0.2,0.1,0.8869,0.62466,0.56395,3.42211,0.73523,2.99044
0.2,0.2,0.88278,0.62169,0.56747,6.73509,0.73194,3.04693
